OBJECTID,OBJECTID_1,ID,Apr_2011,May_2011,Jun_2011,Jul_2011,Aug_2011,Sep_2011,Oct_2011,Nov_2011,Dec_2011,Jan_2012,Feb_2012,March_2012,Apr_2010,May_2010,Jun_2010,Jul_2010,Aug_2010,Sep_2010,Oct_2010,Nov_2010,Dec_2010,Jan_2011,Feb_2011,Mar_2011,Apr_2009,May_2009,Jun_2009,Jul_2009,Aug_2009,Sep_2009,Oct_2009,Nov_2009,Dec_2009,Jan_2010,Feb_2010,Mar_2010,sum_2011,sum_2010,sum_2009,total,X_Centroid,Y_Centroid,Pop_2011,Shape_Area
1,1,183,0,1,0,1,1,2,2,0,1,1,0,1,0,1,4,0,1,0,1,1,0,3,0,0,1,2,2,2,1,5,1,0,0,1,0,0,10,11,15,36,482904.6283,3980066.501,219921,1158145538
2,2,184,1,2,1,1,2,5,8,0,0,1,2,1,0,0,0,1,0,0,0,3,0,0,0,4,1,0,7,0,0,1,2,1,0,0,0,0,24,8,12,44,456143.0071,3972302.239,141160,586831944.4
3,3,149,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,1,1,1,1,3,2,1,2,1,2,3,1,2,2,1,1,1,1,1,16,19,18,53,261294.176,4238468.859,564365,2165746569
4,4,155,0,0,2,0,0,0,0,0,0,0,0,1,2,4,0,2,3,0,0,0,0,0,3,0,0,2,0,0,1,1,3,0,0,0,0,2,3,14,9,26,239103.7786,4358876.55,53768,1795040993
5,5,152,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,2,3,9,5,0,0,0,1,0,1,0,0,2,6,21,29,282511.5589,4145032.38,92332,2794836698
6,6,156,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,0,0,0,0,1,0,2,1,10,13,259747.2588,4177760.881,26198,1279740881
7,7,154,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,278802.8516,4252156.228,61333,946475490.3
8,8,157,7,3,5,4,1,4,0,0,2,0,2,3,5,4,5,4,5,3,2,2,1,2,2,3,2,2,2,0,2,4,0,0,1,0,3,10,31,38,26,95,245923.8434,4208768.143,23656,1224284294
9,9,150,8,13,10,10,8,5,2,6,5,4,3,4,8,15,16,9,2,3,0,7,5,1,4,3,9,14,13,7,3,8,4,7,4,3,3,1,78,73,76,227,219022.9333,4374401.098,173182,1423505763
10,10,153,1,7,3,1,2,3,3,3,2,3,0,1,1,10,0,0,1,1,2,3,4,3,1,3,1,0,0,1,0,2,1,0,0,1,1,1,29,29,8,66,229834.711,4325009.17,84267,2017331992
