,county_en,province_en,Livestock_int_hist,Livestock_vac_hist,Pop_setting,count,county_count,Population,inf_rate,ses
0,Abadan,Khuzestan,No,No,Urban,2.0,8.0,298090,6.7093830722265086e-06,1
1,Abadan,Khuzestan,No,Null,Urban,1.0,8.0,298090,3.3546915361132543e-06,1
2,Abadan,Khuzestan,Null,Null,Urban,1.0,8.0,298090,3.3546915361132543e-06,1
3,Abadan,Khuzestan,Yes,No,Rural,3.0,8.0,298090,1.0064074608339764e-05,1
4,Abadan,Khuzestan,Yes,No,Urban,1.0,8.0,298090,3.3546915361132543e-06,1
5,Abadeh,Fars,No,No,Urban,2.0,505.0,100831,1.9835169739465046e-05,4
6,Abadeh,Fars,No,Null,Rural,17.0,505.0,100831,0.0001685989427854529,4
7,Abadeh,Fars,No,Null,Urban,122.0,505.0,100831,0.0012099453541073678,4
8,Abadeh,Fars,No,Yes,Urban,5.0,505.0,100831,4.958792434866261e-05,4
9,Abadeh,Fars,Null,Null,Nomadic,3.0,505.0,100831,2.975275460919757e-05,4
10,Abadeh,Fars,Null,Null,Rural,1.0,505.0,100831,9.917584869732523e-06,4
11,Abadeh,Fars,Null,Null,Urban,45.0,505.0,100831,0.00044629131913796353,4
12,Abadeh,Fars,Unknow,Null,Urban,1.0,505.0,100831,9.917584869732523e-06,4
13,Abadeh,Fars,Yes,No,Rural,10.0,505.0,100831,9.917584869732523e-05,4
14,Abadeh,Fars,Yes,No,Urban,5.0,505.0,100831,4.958792434866261e-05,4
15,Abadeh,Fars,Yes,Null,Itinerant,1.0,505.0,100831,9.917584869732523e-06,4
16,Abadeh,Fars,Yes,Null,Nomadic,29.0,505.0,100831,0.00028760996122224316,4
17,Abadeh,Fars,Yes,Null,Rural,41.0,505.0,100831,0.0004066209796590334,4
18,Abadeh,Fars,Yes,Null,Urban,117.0,505.0,100831,0.001160357429758705,4
19,Abadeh,Fars,Yes,Yes,Nomadic,8.0,505.0,100831,7.934067895786019e-05,4
20,Abadeh,Fars,Yes,Yes,Rural,26.0,505.0,100831,0.0002578572066130456,4
21,Abadeh,Fars,Yes,Yes,Urban,72.0,505.0,100831,0.0007140661106207416,4
22,Abarkuh,Yazd,No,Null,Rural,5.0,92.0,51552,9.698944754810677e-05,4
