Description,Population,Male,Female,Household
Total country,"79,926,270","40,498,442","39,427,828","24,196,035"
Setteled in urban areas,"59,146,847","29,841,414","29,305,433","18,125,488"
Settled in rural areas,"20,730,625","10,630,549","10,100,076","6,054,939"
Unsettled ,"48,798","26,479","22,319","15,608"
    East Azarbayejan,"3,909,652","1,989,400","1,920,252","1,223,028"
Setteled in urban areas,"2,809,424","1,420,520","1,388,904","887,143"
Settled in rural areas,"1,100,220","568,875","531,345","335,878"
Unsettled ,8,5,3,7
Azarshahr,"110,311","56,028","54,283","35,364"
Setteled in urban areas,"73,896","37,503","36,393","23,968"
Settled in rural areas,"36,413","18,525","17,888","11,395"
Unsettled ,2,0,2,1
Osku,"158,270","80,561","77,709","50,674"
Setteled in urban areas,"117,527","59,679","57,848","37,613"
Settled in rural areas,"40,743","20,882","19,861","13,061"
Unsettled ,0,0,0,0
Ahar,"154,530","77,756","76,774","46,202"
Setteled in urban areas,"105,299","52,781","52,518","31,481"
Settled in rural areas,"49,231","24,975","24,256","14,721"
Unsettled ,0,0,0,0
Bostanabad,"94,769","49,047","45,722","27,647"
Setteled in urban areas,"24,708","12,767","11,941","7,231"
Settled in rural areas,"70,060","36,280","33,780","20,415"
Unsettled ,1,0,1,1
Bonab,"134,892","68,457","66,435","42,325"
Setteled in urban areas,"85,274","42,907","42,367","26,916"
Settled in rural areas,"49,618","25,550","24,068","15,409"
Unsettled ,0,0,0,0
Tabriz ,"1,773,033","897,157","875,876","563,660"
Setteled in urban areas,"1,623,096","819,530","803,566","518,187"
Settled in rural areas,"149,936","77,626","72,310","45,472"
Unsettled ,1,1,0,1
Jolfa,"61,358","31,562","29,796","19,443"
Setteled in urban areas,"44,704","23,159","21,545","13,761"
Settled in rural areas,"16,654","8,403","8,251","5,682"
Unsettled ,0,0,0,0
Charoimaq,"31,071","15,982","15,089","9,016"
Setteled in urban areas,"6,102","3,049","3,053","1,662"
Settled in rural areas,"24,969","12,933","12,036","7,354"
Unsettled ,0,0,0,0
Khoda Afarien ,"32,995","16,751","16,244","10,196"
Setteled in urban areas,"1,902",963,939,560
Settled in rural areas,"31,093","15,788","15,305","9,636"
Unsettled ,0,0,0,0
