province,pop,hshld_size,ses
Ardabil,1248488,3.8,1
Kohgiluye and Boyer-Ahmad,537411,4.9,1
Golestan,1575443,3.8,1
Hamedan,1598346,3.5,1
Ilam,503840,4.7,1
Kerman,2603563,3.9,1
Kermanshah,1667735,3.9,1
Khuzestan,4531720,4.4,1
Kurdistan,1346680,3.6,1
Lorestan,1580284,4.4,1
Sistan and Baluchistan,2102222,3.8,1
South Khorasan,585212,3.7,1
North Khorasan,710315,3.6,1
Hormozgan,1376964,4.3,1
Qazvin,1087436,3.7,2
Razavi Khorasan,5335442,3.6,2
East Azerbaijan,3724620,3.5,2
Zanjan,915289,3.7,2
Semnan,574977,3.4,2
West Azerbaijan,2752206,3.9,2
Markazi,1287988,3.6,3
Alborz,2064582,3.5,3
Gilan,2307732,3.3,3
Charmahale-Bakhtiari,741486,3.8,3
Qom,1151672,4,4
Yazd,954093,3.4,4
Fars,4159665,3.8,4
Boshehr,918044,4.2,4
Esfahan,4450808,3.4,5
Mazandaran,2833680,3.4,5
Tehran,12183391,3.4,5
