cod	Job
1	Freelancer
2	Unemployed 
3	House keeper
4	House keeper-Livestock keeper
5	Rancher
6	Rancher-Farmer
7	Pupil
8	Student
9	Driver
10	Other
11	Butcher
12	Laborer
13	Barn laborer
14	Butchery laborer
15	Government employee
16	Farmer
17	Kid
18	Unknown
19	Military







Code	Interaction type
1	Alive livestock contact
2	Alive livestock contact-Keeping livestock at home
3	Alive livestock contact-Livestock slaughter-Blood and discharge
4	Alive livestock contact-Livestock slaughter-Blood and discharge-Keeping livestock at home
5	Alive livestock contact-Presence in barn
6	Alive livestock contact-Presence in barn-Keeping livestock at home
7	Alive livestock contact-Presence in barn-Livestock slaughter-Blood and discharge
8	Alive livestock contact-Presence in barn-Livestock slaughter-Blood and discharge-Keeping livestock at home
9	Presence in barn
10	Presence in barn-Livestock slaughter-Blood and discharge
