,county_en,province_en,Livestock_int_hist,Livestock_vac_hist,Pop_setting,count,county_count,Population,inf_rate,ses,inf_rate_100k
0,Abadan,Khuzestan,-1,-1,1,2,8,298090,6.71E-06,1,6.71E-01
1,Abadan,Khuzestan,-1,0,1,1,8,298090,3.35E-06,1,3.35E-01
2,Abadan,Khuzestan,0,0,1,1,8,298090,3.35E-06,1,3.35E-01
3,Abadan,Khuzestan,1,-1,-1,3,8,298090,1.01E-05,1,1.01E+00
4,Abadan,Khuzestan,1,-1,1,1,8,298090,3.35E-06,1,3.35E-01
5,Abadeh,Fars,-1,-1,1,2,505,100831,1.98E-05,4,1.98E+00
6,Abadeh,Fars,-1,0,-1,17,505,100831,0.000168599,4,1.69E+01
7,Abadeh,Fars,-1,0,1,122,505,100831,0.001209945,4,1.21E+02
8,Abadeh,Fars,-1,1,1,5,505,100831,4.96E-05,4,4.96E+00
9,Abadeh,Fars,0,0,0,3,505,100831,2.98E-05,4,2.98E+00
10,Abadeh,Fars,0,0,-1,1,505,100831,9.92E-06,4,9.92E-01
11,Abadeh,Fars,0,0,1,45,505,100831,0.000446291,4,4.46E+01
12,Abadeh,Fars,0,0,1,1,505,100831,9.92E-06,4,9.92E-01
13,Abadeh,Fars,1,-1,-1,10,505,100831,9.92E-05,4,9.92E+00
14,Abadeh,Fars,1,-1,1,5,505,100831,4.96E-05,4,4.96E+00
15,Abadeh,Fars,1,0,0,1,505,100831,9.92E-06,4,9.92E-01
16,Abadeh,Fars,1,0,0,29,505,100831,0.00028761,4,2.88E+01
17,Abadeh,Fars,1,0,-1,41,505,100831,0.000406621,4,4.07E+01
18,Abadeh,Fars,1,0,1,117,505,100831,0.001160357,4,1.16E+02
19,Abadeh,Fars,1,1,0,8,505,100831,7.93E-05,4,7.93E+00
20,Abadeh,Fars,1,1,-1,26,505,100831,0.000257857,4,2.58E+01
21,Abadeh,Fars,1,1,1,72,505,100831,0.000714066,4,7.14E+01
22,Abarkuh,Yazd,-1,0,-1,5,92,51552,9.70E-05,4,9.70E+00
23,Abarkuh,Yazd,-1,0,1,14,92,51552,0.00027157,4,2.72E+01
24,Abarkuh,Yazd,-1,1,-1,2,92,51552,3.88E-05,4,3.88E+00
25,Abarkuh,Yazd,-1,1,1,1,92,51552,1.94E-05,4,1.94E+00
26,Abarkuh,Yazd,0,0,-1,4,92,51552,7.76E-05,4,7.76E+00
27,Abarkuh,Yazd,0,0,1,29,92,51552,0.000562539,4,5.63E+01
28,Abarkuh,Yazd,1,-1,-1,13,92,51552,0.000252173,4,2.52E+01
29,Abarkuh,Yazd,1,-1,1,2,92,51552,3.88E-05,4,3.88E+00
30,Abarkuh,Yazd,1,0,-1,3,92,51552,5.82E-05,4,5.82E+00
31,Abarkuh,Yazd,1,0,1,3,92,51552,5.82E-05,4,5.82E+00
32,Abarkuh,Yazd,1,1,-1,16,92,51552,0.000310366,4,3.10E+01
33,Abbasabad,Mazandaran,-1,-1,1,1,22,52832,1.89E-05,5,1.89E+00
34,Abbasabad,Mazandaran,-1,0,-1,5,22,52832,9.46E-05,5,9.46E+00
35,Abbasabad,Mazandaran,-1,0,1,7,22,52832,0.000132495,5,1.32E+01
36,Abbasabad,Mazandaran,-1,1,1,1,22,52832,1.89E-05,5,1.89E+00
37,Abbasabad,Mazandaran,0,0,1,1,22,52832,1.89E-05,5,1.89E+00
38,Abbasabad,Mazandaran,1,0,-1,1,22,52832,1.89E-05,5,1.89E+00
39,Abbasabad,Mazandaran,1,0,1,3,22,52832,5.68E-05,5,5.68E+00
40,Abbasabad,Mazandaran,1,1,-1,3,22,52832,5.68E-05,5,5.68E+00
41,Abdanan,Ilam,-1,0,1,2,46,47851,4.18E-05,1,4.18E+00
42,Abdanan,Ilam,0,0,-1,1,46,47851,2.09E-05,1,2.09E+00
43,Abdanan,Ilam,1,-1,-1,3,46,47851,6.27E-05,1,6.27E+00
44,Abdanan,Ilam,1,-1,1,1,46,47851,2.09E-05,1,2.09E+00
45,Abdanan,Ilam,1,0,0,1,46,47851,2.09E-05,1,2.09E+00
46,Abdanan,Ilam,1,0,0,3,46,47851,6.27E-05,1,6.27E+00
47,Abdanan,Ilam,1,0,-1,17,46,47851,0.000355269,1,3.55E+01
48,Abdanan,Ilam,1,0,1,5,46,47851,0.000104491,1,1.04E+01
49,Abdanan,Ilam,1,1,0,1,46,47851,2.09E-05,1,2.09E+00
50,Abdanan,Ilam,1,1,-1,8,46,47851,0.000167186,1,1.67E+01
51,Abdanan,Ilam,1,1,1,4,46,47851,8.36E-05,1,8.36E+00
52,Abhar,Zanjan,-1,-1,1,1,78,151528,6.60E-06,2,6.60E-01
53,Abhar,Zanjan,-1,0,-1,4,78,151528,2.64E-05,2,2.64E+00
54,Abhar,Zanjan,-1,0,1,6,78,151528,3.96E-05,2,3.96E+00
55,Abhar,Zanjan,-1,1,-1,2,78,151528,1.32E-05,2,1.32E+00
56,Abhar,Zanjan,1,-1,-1,5,78,151528,3.30E-05,2,3.30E+00
57,Abhar,Zanjan,1,-1,1,2,78,151528,1.32E-05,2,1.32E+00
