animal_county,shp_county
Ajab shir,Ajabshir
Ardakan,Ardekan
Astaneh-ye Ashrafiyeh,Astane-ye-Ashrafiyeh
Azar shahr,Azarshahr
Badreh,Badre
Bagh-e malek,Baghmalek
Bandar Abbas,Bandar-Abbas
Bandar-e Gaz,Bandar-e-Gaz
Bandar-eAnzali,Bandar-e-Anzali
Bastanabad,Bostanabad
Bavana,Bavanat
Behabad,Bahabad
Bileh savar,Bilasavar
Bojnord,Bojnurd
Buin Zahra,Buin-Zahra
Choram,Charam
Dalahu,Dalaho
Dana,Dena
Dasht-e Azadegan,Dasht-e-Azadegan
Dehaqan,Dehaghan
Divandareh,Divandarreh
Dowreh,Doureh
Eslamabad-e Gharb,Islamabad-e-Gharb
Eslamshahr,Islamshahr
Faruj,Faroj
Firuskuh,Firuzkuh
Garmeh,Germeh
Gilan-e Gharb,Gilan-e-Gharb
Gonbad-e Kavus,Gonbad-e-Kavus
Gotvand,Guotvand
Hajjiabad,Hajiabad
Hamun,Hamoun
Hovezeh,Hoveizeh
Hris,Heris
Jajarm,Jajrom
Kalaleh,Kolaleh
Kamaran,Kamyaran
Karun,Karoun
Kermanshan,Kermanshah
Khal Khal,Khalkhal
Kharameh,Kherameh
Khavf,Khaf
Khomeyn,Khomein
Khomeynishahr,Khomeinishahr
Khvansar,Khansar
Kiar,Kiaar
Komijan,Komeijan
Kouhbanan,Kuhbonan
Langarud,Langrud
Mabarakeh,Mobarakeh
Mamasan,Mamasani
MaravehTappeh,Maravehtapeh
Masjedsoleyman,Masjed-Soleyman
Maybod,Meybod
Meshgin shahr,Meshginshahr
Myami,Meyami
Narmashir,Normashir
Nayriz,Neyriz
Nishabur,Nishapur
Nowshahr,Noshahr
Pol-e Dokhtar,Poldokhtar
Qasr-e Shirin,Qasr-e-Shirin
Rabor,Rabar
Robatkarim,Robat-Karim
Roshtkhar,Rashtkhar
Salas-e Babajani,Solas-e-Babajani
Salseleh,Selseleh
Sanandaj,Sannandaj
Sarein,Sareyn
Sarpol-e Zahab,Sarpol-e-Zahab
Save,Saveh
Shaharbabak,Shahr-e-Babak
Shahin Dezh,Shahindej
Shahin shahr and Meymeh,Shahinshahro Meymeh
Soltaniyeh,Soltanieh
Sovajbolagh,Savojbolagh
Sowmeehsara,Some'e-Sara
Talegan,Taleghan
Telesh,Talesh
