pop_county,shp_county
Aghajaree,Aghajari
Aq Qala,Aqqala
Aran & Bidgol,Aran-o-Bidgol
Ardakan,Ardekan
Ardebil,Ardabil
Asalouye,Asaluyeh
Ashkzar,Ashkezar
Badreh,Badre
Bahmaee,Bahmai
Bandar Abbas,Bandar-Abbas
Bandar Anzali,Bandar-e-Anzali
Bandar Gaz,Bandar-e-Gaz
Bandar Lengeh,Bandar-Lengeh
Bardeskan,Bardaskan
Bashagerd,Bashagard
Behabad,Bahabad
Bilehsavar,Bilasavar
Boshroye,Boshruyeh
Boyinzahra,Buin-Zahra
Buin and Miyandasht,Booeino Miyandasht
Chaharmahal & Bakhtiyari,Chaharmahal and Bakhtiari
Charoimaq,Charuymaq
Cheram,Charam
Dalahu,Dalaho
Darmiyan,Darmian
Darrehshahr,Darreh Shahr
Dehgalan,Dehgolan
Delgan,Dalgan
Doreh,Doureh
East Azarbayejan,East Azerbaijan
Endika,Andika
Esfahan,Isfahan
Eslamabad-E-Gharb,Islamabad-e-Gharb
Eslamshahr,Islamshahr
Faruj,Faroj
Feridan,Faridan
Ferydonkenar,Feredunkenar
Galikesh,Galikash
Garmeh,Germeh
Garmi,Germi
Genaveh,Ganaveh
Gotvand,Guotvand
Hamedan,Hamadan
Hamidiyeh,Hamidieh
Hamoon,Hamoun
Haris,Heris
Hovayzeh,Hoveizeh
Jajarm,Jajrom
Joghatay,Joghatai
Kalaleh,Kolaleh
Kaleibar,Kalibar
Khalil Abad,Khalilabad
Kharameh,Kherameh
Khoda Afarien,Khodaafarin
Khooshab,Khoshab
Khosaf,Khaf
Khour& Biyabanak,Khorobiyabanak
Kohbonan,Kuhbonan
Kohgiluyeh,Kohgeluyeh
Kohgiluyeh & Boyerahmad,Kohgiluyeh and Boyer-Ahmad
Kordestan,Ardestan
Lande,Landeh
Mah-Velat,Mahvelat
Mahmoudabad,Mahmudabad
Maneh and Samalqan,Maneh-o-Samalqan
Marave-Tapeh,Maravehtapeh
Masjed Soleyman,Masjed-Soleyman
Meshkinshah,Meshginshahr
Miandorood,Miandorud
Mirjave,Mirjaveh
Miyaneh,Mianeh
Mohr,Mehr
Nahbandan,Nehbandan
Narmashir,Normashir
Neekshahr,Nikshahr
Orumiyeh,Arzuiyeh
Parsiyan,Parsian
Qirokarzin,Qir-o-Karzin
Ramyan,Ramian
Robatkarim,Robat-Karim
Rudbar-e-Jonub,Roudbar-e-Jonub
Rumeshkan,Romeshkan
Salas-e-Babajani,Solas-e-Babajani
Sanandaj,Sannandaj
Sar-e-pol-e-Zahab,Sarpol-e-Zahab
Savojbalagh,Savojbolagh
Seemorgh,Simorgh
Serakhs,Sarakhs
Shahin Shahr& Meymeh,Shahinshahro Meymeh
Shahindezh,Shahindej
Shahr-e-Kord,Shahrekord
Shout,Showt
Sistan & Baluchestan,Sistan and Baluchestan
Soltaniyeh,Soltanieh
Sorkhe,Sorkheh
Tavalesh,Talesh
Tonkabon,Tonekabon
Torbat-e-Heydariyeh,Torbat-e-Heydarieh
West Azarbayejan,West Azerbaijan
Zahak,Zehak
Zarandiyeh,Zarandieh
Arzooeyeh,Arzuiyeh
Bafgh,Bafq
Boyerahmad,Yasooj
Firooze,Firuzeh
Ijerud,Eejrud
Ivan,Eyvan
Jovin,Jowayin
Mayamee,Meyami
Naeen,Nain
Neemrooz,Nimrouz
Neyshabur,Nishapur
Torkaman,Bandar-e-Torkaman
Zaveh,Zave
Khorasan-e-Razavi,Razavi Khorasan
Qaleh-Ganj,Ghaleye-Ganj
Qaser-e Qand,Ghasre Ghand
Raz & Jargalan,Razo Jalgelan
Reegan,Rigan
Savadkuh-e Shomali,Savadkuh
Sireek,Sirik
Sumaehsara,Some'e-Sara
Tiran & Karvan,Tiran-o-Korun
Zeerkooh,Zirkouh
Bandar-e-Mahshahr,Mahshahr
Bon,Ben
Chardavel,Shirvan-o-Chardavol
Fonuch,Fanouj
Keyar,Kiiar
Qayenat,Qaen
Qods,Shahr-e Qods
Sibsavaran,Sibo Soran
Abadan,Abadan
Abadeh,Abadeh
Abarkuh,Abarkuh
Abbasabad,Abbasabad
Abdanan,Abdanan
Abhar,Abhar
Abumusa,Abumusa
Abyek,Abyek
Ahar,Ahar
Ahvaz,Ahvaz
Ajabshir,Ajabshir
Alborz,Alborz
Aliabad,Aliabad
Aligudarz,Aligudarz
Amlash,Amlash
Amol,Amol
Anar,Anar
Anbarabad,Anbarabad
Andimeshk,Andimeshk
Aradan,Aradan
Arak,Arak
Ardal,Ardal
Ardestan,Ardestan
Arsanjan,Arsanjan
Asadabad,Asadabad
Ashtian,Ashtian
Astane-ye-Ashrafiyeh,Astane-ye-Ashrafiyeh
Astara,Astara
Avaj,Avaj
Azadshahr,Azadshahr
Azarshahr,Azarshahr
Azna,Azna
Babol,Babol
Babolsar,Babolsar
Baft,Baft
Baghmalek,Baghmalek
Bahar,Bahar
Baharestan,Baharestan
Bajestan,Bajestan
Bakharz,Bakharz
Bam,Bam
Baneh,Baneh
Bardsir,Bardsir
Basht,Basht
Bastak,Bastak
Bavanat,Bavanat
Bavi,Bavi
Behbahan,Behbahan
Behshahr,Behshahr
Bijar,Bijar
Birjand,Birjand
Bojnurd,Bojnurd
Bonab,Bonab
Borkhar,Borkhar
Borujen,Borujen
Borujerd,Borujerd
Bostanabad,Bostanabad
Bukan,Bukan
Bushehr,Bushehr
Chabahar,Chabahar
Chadegan,Chadegan
Chaldoran,Chaldoran
Chalus,Chalus
Chaypareh,Chaypareh
Chenaran,Chenaran
Damavand,Damavand
Damghan,Damghan
Darab,Darab
Dargaz,Dargaz
Dasht-e-Azadegan,Dasht-e-Azadegan
Dashtestan,Dashtestan
Dashti,Dashti
Davarzan,Davarzan
Dayyer,Dayyer
Dehaghan,Dehaghan
Dehloran,Dehloran
Delfan,Delfan
Delijan,Delijan
Dena,Dena
Deylam,Deylam
Dezful,Dezful
Divandarreh,Divandarreh
Dorud,Dorud
Eqlid,Eqlid
Esfarayen,Esfarayen
Eshtehard,Eshtehard
Estahban,Estahban
Fahraj,Fahraj
Falavarjan,Falavarjan
Famenin,Famenin
Farahan,Farahan
Farashband,Farashband
Fardis,Fardis
Fariman,Fariman
Fars,Fars
Farsan,Farsan
Faryab,Faryab
Fasa,Fasa
Ferdows,Ferdows
Fereydunshahr,Fereydunshahr
Firuzabad,Firuzabad
Firuzkuh,Firuzkuh
Fuman,Fuman
Gachsaran,Gachsaran
Galugah,Galugah
Garmsar,Garmsar
Gerash,Gerash
Gilan,Gilan
Gilan-e-Gharb,Gilan-e-Gharb
Golestan,Golestan
Golpayegan,Golpayegan
Gomishan,Gomishan
Gonabad,Gonabad
Gonbad-e-Kavus,Gonbad-e-Kavus
Gorgan,Gorgan
Haftgol,Haftgol
Hajiabad,Hajiabad
Harsin,Harsin
Hashtrud,Hashtrud
Hendijan,Hendijan
Hirmand,Hirmand
Hormozgan,Hormozgan
Ilam,Ilam
Iranshahr,Iranshahr
Izeh,Izeh
Jahrom,Jahrom
Jam,Jam
Jask,Jask
Javanrud,Javanrud
Jiroft,Jiroft
Jolfa,Jolfa
Juybar,Juybar
Kabudarahang,Kabudarahang
Kahnuj,Kahnuj
Kalat,Kalat
Kamyaran,Kamyaran
Kangan,Kangan
Kangavar,Kangavar
Karaj,Karaj
Karoun,Karoun
Kashan,Kashan
Kashmar,Kashmar
Kavar,Kavar
Kazerun,Kazerun
Kelardasht,Kelardasht
Kerman,Kerman
Kermanshah,Kermanshah
Khaf,Khaf
Khalkhal,Khalkhal
Khamir,Khamir
Khansar,Khansar
Khash,Khash
Khatam,Khatam
Khodabandeh,Khodabandeh
Khomein,Khomein
Khomeinishahr,Khomeinishahr
Khondab,Khondab
Khonj,Khonj
Khorramabad,Khorramabad
Khorrambid,Khorrambid
Khorramdarreh,Khorramdarreh
Khorramshahr,Khorramshahr
Khoy,Khoy
Khuzestan,Khuzestan
Komeijan,Komeijan
Konarak,Konarak
Kordkuy,Kordkuy
Kowsar,Kowsar
Kuhdasht,Kuhdasht
Kuhrang,Kuhrang
Lahijan,Lahijan
Lali,Lali
Lamerd,Lamerd
Langrud,Langrud
Larestan,Larestan
Lenjan,Lenjan
Lordegan,Lordegan
Lorestan,Lorestan
Mahabad,Mahabad
Mahallat,Mahallat
Mahneshan,Mahneshan
Maku,Maku
Malard,Malard
Malayer,Malayer
Malekan,Malekan
Malekshahi,Malekshahi
Mamasani,Mamasani
Manujan,Manujan
Maragheh,Maragheh
Marand,Marand
Marivan,Marivan
Markazi,Markazi
Marvdasht,Marvdasht
Masal,Masal
Mashhad,Mashhad
Mazandaran,Mazandaran
Mehdishahr,Mehdishahr
Mehran,Mehran
Mehrestan,Mehrestan
Mehriz,Mehriz
Meybod,Meybod
Miandoab,Miandoab
Minab,Minab
Minudasht,Minudasht
Mobarakeh,Mobarakeh
Nahavand,Nahavand
Najafabad,Najafabad
Namin,Namin
Naqadeh,Naqadeh
Natanz,Natanz
Nazarabad,Nazarabad
Neka,Neka
Neyriz,Neyriz
North Khorasan,North Khorasan
